threshold,precision_positive,recall_positive,f1_positive,accuracy,balanced_accuracy,predicted_positive_rate
0.74,0.6092404072043853,0.5042125729099157,0.5517730496453901,0.842,0.7134660510515197,0.159625
0.75,0.6193601312551271,0.48930654569021387,0.5467052860246199,0.8435,0.7087232743938138,0.152375
0.76,0.6225614927905004,0.4756966947504861,0.5393093313739897,0.84325,0.7033896204122572,0.147375
0.77,0.6276595744680851,0.4588464031108231,0.5301385248970423,0.843125,0.696900358129672,0.141
0.78,0.6408582089552238,0.44523655217109526,0.5254302103250478,0.844875,0.6928056696119531,0.134
0.79,0.645956607495069,0.42449773169151006,0.5123191239734063,0.844125,0.6844495782508968,0.12675
0.8,0.6625,0.4121840570317563,0.5081901717938474,0.846125,0.6810029778731648,0.12
0.81,0.6692056583242655,0.39857420609202854,0.49959382615759546,0.846,0.6757467592330981,0.114875
0.82,0.6785714285714286,0.38172391445236553,0.4885939444214019,0.845875,0.669257496950513,0.1085
0.83,0.6901579586877278,0.3681140635126377,0.4801352493660186,0.84625,0.6643110196764056,0.102875
0.84,0.7014341590612777,0.3486714193130266,0.4658008658008658,0.84575,0.6566030164553363,0.095875
0.85,0.7118881118881119,0.3298768632534025,0.4508414526129318,0.845,0.6489867512797909,0.089375
0.86,0.7249626307922272,0.31432274789371356,0.4385171790235081,0.84475,0.6429132711127232,0.083625
0.87,0.7434640522875817,0.2948801036941024,0.4222737819025522,0.844375,0.6352827032331438,0.0765
0.88,0.7553571428571428,0.2741412832145172,0.40228245363766046,0.842875,0.6264619998231483,0.07
0.89,0.784,0.254050550874919,0.3837493881546745,0.842625,0.6186622585565551,0.0625
0.9,0.7884187082405345,0.22942320155541154,0.35542168674698793,0.8395,0.6073552433361694,0.056125
